GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
 "06000","California",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",92160048,99417462,105987186,116351066,127777265,142507421,157639903,174924788,194032902,220640055,250173900,284307980,319557151,342342458,369808779,410796416,444066873,476682239,513377058,558041138,600755071,643684926,665992598,702449072,719730984,742429143,780642835,829666598,882677306,959949747,1026419347,1133965450,1173768781,1193118043,1248506484,1329404002,1407285469,1516057517,1581573294,1606579893,1554013343,1628457637,1737940004,1852397490,1886376599,2021035590,2172930238,2273557468,2383130513,2514503372,2632279775
 "06000","California",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",19711000,20023181,20345575,20584794,20867737,21172548,21536715,21934505,22350247,22838960,23255069,23800800,24285933,24820007,25360023,25844397,26441107,27102238,27777160,28464250,29218165,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,33987977,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37319502,37638369,37948800,38260787,38596972,38918045,39167117,39358497,39461588,39512223
 "06000","California",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4676,4965,5209,5652,6123,6731,7320,7975,8681,9661,10758,11945,13158,13793,14582,15895,16795,17588,18482,19605,20561,21485,21857,22678,23013,23581,24629,25912,27171,29100,30640,33364,34043,34214,35415,37369,39279,42088,43629,43890,42044,43636,46175,48813,49303,52363,55833,58048,60549,63720,66619
 "06001","Alameda, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",4991979,5413615,5748044,6256221,6646967,7316446,8047585,8852592,9627922,10741959,11895501,13389159,15070912,16080360,17483059,19467458,21038021,22275177,23589473,25589904,27673644,29593225,30549152,32127626,33130062,34167648,36266947,38887009,41495774,45378778,49341526,56749879,57883887,57403375,58552726,60680616,62842982,67687599,70402298,72292294,69419699,72841206,78506666,82974225,87682377,95047167,104465851,111930943,119446412,128728021,135663560
 "06001","Alameda, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",1060099,1073505,1084483,1099590,1089330,1092233,1090869,1098146,1099851,1103717,1099272,1109931,1125950,1140269,1160694,1179132,1197401,1215506,1229319,1251100,1271443,1306166,1318543,1332208,1339189,1341707,1346548,1359099,1380383,1405903,1427114,1449840,1469484,1462106,1454163,1445721,1441545,1444484,1455715,1477208,1498539,1512986,1530915,1553764,1579593,1607792,1634538,1650950,1660196,1666756,1671329
 "06001","Alameda, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",4709,5043,5300,5690,6102,6699,7377,8061,8754,9733,10821,12063,13385,14102,15063,16510,17570,18326,19189,20454,21766,22657,23169,24116,24739,25466,26933,28612,30061,32277,34574,39142,39391,39261,40266,41973,43594,46859,48363,48938,46325,48144,51281,53402,55509,59117,63912,67798,71947,77233,81171
 "06003","Alpine, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",2003,2261,2634,3373,3715,3930,4408,5731,6072,7891,9338,10316,11630,12403,13688,14104,14688,15134,15873,18896,20703,20190,18111,18250,20995,22464,23981,26041,27704,29053,31006,34148,41375,42623,44341,42598,42304,42897,45781,46332,47290,49676,62342,66701,67218,73554,76307,79010,77214,78472,81463
 "06003","Alpine, CA",8,CAINC1,2,"...","Population (persons) 1/","Number of persons",398,508,584,702,671,730,785,817,890,983,1160,1104,1131,1145,1119,1092,1156,1197,1141,1162,1161,1106,1162,1154,1196,1199,1246,1262,1239,1223,1205,1209,1196,1237,1233,1263,1219,1276,1274,1202,1197,1161,1093,1110,1128,1080,1077,1047,1111,1089,1129
 "06003","Alpine, CA",8,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",5033,4451,4510,4805,5537,5384,5615,7015,6822,8027,8050,9344,10283,10832,12232,12916,12706,12643,13911,16262,17832,18255,15586,15815,17554,18736,19246,20635,22360,23756,25731,28245,34594,34457,35962,33728,34704,33618,35935,38546,39507,42787,57038,60091,59590,68106,70851,75463,69500,72059,72155
 "06005","Amador, CA",8,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",47391,52052,57221,63717,73443,83961,95034,108959,125334,146550,170527,190613,208033,222735,247168,281627,308270,335872,376503,419187,455463,491345,536608,567895,595834,610059,645493,682026,688710,739882,781469,866101,955516,1010053,1061751,1131979,1154432,1229189,1288559,1309767,1272419,1302191,1333600,1351901,1376219,1458287,1541827,1591543,1666554,1744925,1825410
